,felt,mag_type,net,alert,tz,sources,nst,status,types,tipe,tsunami,detail,time,code,sig,gap,dmin,mag,place,url,rms,cdi,ids,id,updated,mmi
73,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p1o6u2&format=geojson,1642257986184,022p1o6u2,30,,,1.4,"3 km SW of Point MacKenzie, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p1o6u2,0.82,,",ak022p1o6u2,",ak022p1o6u2,1642258221616,
74,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p1nqiw&format=geojson,1642257854804,022p1nqiw,39,,,1.6,"59 km ENE of Cantwell, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p1nqiw,0.4,,",ak022p1nqiw,",ak022p1nqiw,1642258121299,
75,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc8w&format=geojson,1642257718922,7000gc8w,354,135,2.45,4.8,"49 km ESE of Nemuro, Japan",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc8w,1,,",us7000gc8w,",us7000gc8w,1642258942040,
76,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p1lzre&format=geojson,1642257361481,022p1lzre,35,,,1.5,"16 km N of Fishhook, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p1lzre,0.6,,",ak022p1lzre,",ak022p1lzre,1642257620069,
77,,md,nc,,,",nc,",10.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678791&format=geojson,1642255815220,73678791,11,100,0.00193,0.84,"7km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678791,0.02,,",nc73678791,",nc73678791,1642255911234,
78,,ml,ci,,,",ci,",56.0,reviewed,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913351&format=geojson,1642255410420,39913351,47,34,0.04781,1.74,"23km ESE of Anza, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913351,0.21,,",ci39913351,",ci39913351,1642344758750,
79,,md,nc,,,",nc,",19.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678786&format=geojson,1642254988180,73678786,10,85,0.01703,0.79,"9km W of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678786,0.03,,",nc73678786,",nc73678786,1642255086281,
80,10.0,ml,us,,,",us,",,reviewed,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gce5&format=geojson,1642254753160,7000gce5,85,110,0.392,2.3,New Hampshire,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gce5,0.28,4.1,",us7000gce5,",us7000gce5,1642347486870,
81,,md,nc,,,",nc,",13.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678781&format=geojson,1642254657380,73678781,21,66,0.01172,1.18,"8km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678781,0.02,,",nc73678781,",nc73678781,1642257674055,
82,,ml,ci,,,",ci,",23.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913327&format=geojson,1642254367310,39913327,24,91,0.04421,1.24,"4km SE of Chino Hills, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913327,0.24,,",ci39913327,",ci39913327,1642254594064,
83,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc8m&format=geojson,1642253733413,7000gc8m,340,74,5.528,4.7,"28 km ENE of Kerman, Iran",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc8m,1.09,,",us7000gc8m,",us7000gc8m,1642257265040,
84,6.0,ml,ak,,,",ak,us,",,reviewed,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p1089k&format=geojson,1642253687769,022p1089k,98,,,2.5,"4 km SSE of Big Lake, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p1089k,0.71,3.4,",ak022p1089k,us7000gc8k,",ak022p1089k,1642282498114,
85,,ml,ci,,,",ci,",23.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913319&format=geojson,1642253256730,39913319,8,78,0.02519,0.74,"22km SSW of La Quinta, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913319,0.23,,",ci39913319,",ci39913319,1642253471466,
86,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc8j&format=geojson,1642253184642,7000gc8j,312,101,0.772,4.5,"92 km NE of Nanortalik, Greenland",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc8j,1.07,,",us7000gc8j,",us7000gc8j,1642260363040,
87,,md,nc,,,",nc,",12.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678776&format=geojson,1642252258770,73678776,99,139,0.06043,2.54,"6km NNE of Petrolia, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678776,0.07,,",nc73678776,",nc73678776,1642256050901,
88,2.0,ml,ci,,,",ci,",21.0,automatic,",dyfi,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913295&format=geojson,1642252077080,39913295,47,82,0.02566,1.74,"4km SW of Moorpark, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913295,0.29,2,",ci39913295,",ci39913295,1642296308687,
89,,md,nc,,,",nc,",27.0,automatic,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678771&format=geojson,1642252042600,73678771,31,81,0.001406,1.41,"10km WNW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678771,0.03,,",nc73678771,",nc73678771,1642255151809,
90,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p0tqp5&format=geojson,1642251860254,022p0tqp5,30,,,1.4,"51 km SSE of Denali National Park, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p0tqp5,0.43,,",ak022p0tqp5,",ak022p0tqp5,1642252099743,
91,1.0,mb,us,,,",us,",,reviewed,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc8f&format=geojson,1642251786153,7000gc8f,272,101,1.275,4.2,"29 km SSW of Salm?s, Iran",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc8f,0.72,2.2,",us7000gc8f,",us7000gc8f,1642263419598,
92,,md,nc,,,",nc,",13.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678761&format=geojson,1642251643700,73678761,21,58,0.01383,1.18,"8km WNW of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678761,0.01,,",nc73678761,",nc73678761,1642253591657,
93,5.0,mb,us,,,",us,",,reviewed,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc8d&format=geojson,1642251053239,7000gc8d,327,135,0.728,4.6,"59 km SSW of El Rosario, El Salvador",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc8d,0.55,3.8,",us7000gc8d,",us7000gc8d,1642282977296,
94,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p0fmt1&format=geojson,1642250317979,022p0fmt1,39,,,1.6,"57 km ESE of Pedro Bay, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p0fmt1,0.43,,",ak022p0fmt1,",ak022p0fmt1,1642250526862,
95,,ml,ak,,,",us,ak,",,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p0eie0&format=geojson,1642249993992,022p0eie0,89,,,2.4,"43 km SSW of Tatitlek, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p0eie0,0.77,,",us7000gc8b,ak022p0eie0,",ak022p0eie0,1642253831040,
96,,ml,ci,,,",ci,",42.0,reviewed,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913279&format=geojson,1642249572380,39913279,19,31,0.03703,1.12,"13km WNW of Anza, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913279,0.2,,",ci39913279,",ci39913279,1642344823310,
97,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc8a&format=geojson,1642249522584,7000gc8a,298,78,6.694,4.4,"15 km S of Kh?rk, Iran",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc8a,0.43,,",us7000gc8a,",us7000gc8a,1642251227040,
98,,ml,nn,,,",nn,",9.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00831757&format=geojson,1642249443132,00831757,15,157.44,0.115,1,"37 km SE of Mina, Nevada",https://earthquake.usgs.gov/earthquakes/eventpage/nn00831757,0.0764,,",nn00831757,",nn00831757,1642249678624,
99,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022p0cdbe&format=geojson,1642249395304,022p0cdbe,50,,,1.8,"56 km N of Chickaloon, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022p0cdbe,0.74,,",ak022p0cdbe,",ak022p0cdbe,1642249775080,
100,,md,nc,,,",nc,",9.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678756&format=geojson,1642248677820,73678756,11,117,0.009464,0.86,"9km WNW of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678756,0.01,,",nc73678756,",nc73678756,1642248776108,
101,,md,nc,,,",nc,",8.0,reviewed,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678746&format=geojson,1642247085740,73678746,0,232,0.02116,-0.23,"12km ESE of Mammoth Lakes, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678746,0.06,,",nc73678746,",nc73678746,1642265290807,
102,12.0,md,se,,,",us,se,",7.0,reviewed,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=se60142943&format=geojson,1642245891730,60142943,53,114,0.02752,1.79,"8 km SE of Elgin, South Carolina",https://earthquake.usgs.gov/earthquakes/eventpage/se60142943,0.2,3.1,",us7000gc8n,se60142943,",se60142943,1642335010840,
103,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc85&format=geojson,1642245729374,7000gc85,284,59,0.89,4.3,"12 km SSW of Ashk?sham, Afghanistan",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc85,0.69,,",us7000gc85,",us7000gc85,1642248650040,
104,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022ozq5ew&format=geojson,1642245588460,022ozq5ew,39,,,1.6,"85 km ESE of Denali Park, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022ozq5ew,0.57,,",ak022ozq5ew,",ak022ozq5ew,1642245817883,
105,,md,nc,,,",nc,",11.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678736&format=geojson,1642245409470,73678736,3,121,0.004689,0.46,"5km WNW of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678736,0.01,,",nc73678736,",nc73678736,1642245505743,
106,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022ozn4so&format=geojson,1642244740886,022ozn4so,30,,,1.4,"4 km NNE of Susitna North, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022ozn4so,0.87,,",ak022ozn4so,",ak022ozn4so,1642244936198,
107,7.0,md,pr,,,",us,pr,",27.0,reviewed,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022015000&format=geojson,1642243382480,2022015000,174,152,0.0796,3.35,"7 km SSW of La Playa, Puerto Rico",https://earthquake.usgs.gov/earthquakes/eventpage/pr2022015000,0.17,2.2,",us7000gc81,pr2022015000,",pr2022015000,1642265940298,
108,,ml,ci,,,",ci,",20.0,reviewed,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913263&format=geojson,1642243319270,39913263,7,77,0.1026,0.69,"22km SSW of La Quinta, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913263,0.22,,",ci39913263,",ci39913263,1642344769577,
109,,md,nc,,,",nc,",23.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678726&format=geojson,1642241732830,73678726,22,82,0.005606,1.19,"9km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678726,0.03,,",nc73678726,",nc73678726,1642243691742,
110,,md,nc,,,",nc,nn,",13.0,reviewed,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678721&format=geojson,1642241025880,73678721,21,327,0.2507,1.18,"35km N of Toms Place, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678721,0.07,,",nc73678721,nn00831755,",nc73678721,1642267993063,
111,,md,pr,,,",pr,",16.0,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022015001&format=geojson,1642240033890,2022015001,128,222,0.0715,2.88,"8 km ESE of La Parguera, Puerto Rico",https://earthquake.usgs.gov/earthquakes/eventpage/pr2022015001,0.17,,",pr2022015001,",pr2022015001,1642251304963,
112,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022oyp2yr&format=geojson,1642240014118,022oyp2yr,39,,,1.6,"37 km W of Clear, Alaska, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022oyp2yr,0.5,,",ak022oyp2yr,",ak022oyp2yr,1642240207934,
113,,md,nc,,,",nc,",5.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678711&format=geojson,1642238911520,73678711,2,164,0.008367,0.37,"9km WNW of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678711,0.01,,",nc73678711,",nc73678711,1642239005113,
114,,ml,ci,,,",ci,",25.0,reviewed,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913247&format=geojson,1642238261010,39913247,10,58,0.1038,0.82,"7km NW of Warner Springs, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913247,0.19,,",ci39913247,",ci39913247,1642344803583,
115,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022oyh1fs&format=geojson,1642237741832,022oyh1fs,81,,,2.3,"59 km SE of Denali National Park, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022oyh1fs,0.58,,",ak022oyh1fs,",ak022oyh1fs,1642238214360,
116,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022oy5ptz&format=geojson,1642236979271,022oy5ptz,15,,,1,"61 km ESE of Pedro Bay, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022oy5ptz,0.44,,",ak022oy5ptz,",ak022oy5ptz,1642237192124,
117,5.0,mb_lg,us,,,",us,",,reviewed,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc7n&format=geojson,1642236119406,7000gc7n,140,45,0.697,3,"9 km SW of Gypsum, Kansas",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc7n,0.23,2.2,",us7000gc7n,",us7000gc7n,1642326347029,
118,,ml,ci,,,",ci,",11.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913239&format=geojson,1642236080610,39913239,8,118,0.01406,0.74,"16km SW of Palm Desert, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913239,0.22,,",ci39913239,",ci39913239,1642236303393,
119,,ml,ci,,,",ci,",22.0,reviewed,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913223&format=geojson,1642235802950,39913223,26,55,0.01657,1.29,"6km N of Little Lake, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913223,0.15,,",ci39913223,",ci39913223,1642344888180,
120,,ml,ci,,,",ci,",29.0,reviewed,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913215&format=geojson,1642235601410,39913215,10,58,0.06458,0.79,"1km ESE of Valle Vista, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913215,0.12,,",ci39913215,",ci39913215,1642347671615,
121,,ml,ci,,,",ci,",16.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913207&format=geojson,1642235027810,39913207,13,96,0.08352,0.93,"5km SE of Loma Linda, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913207,0.25,,",ci39913207,",ci39913207,1642235247073,
122,,md,nc,,,",nc,",14.0,reviewed,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678701&format=geojson,1642234654350,73678701,6,121,0.02315,0.61,"9km E of Mammoth Lakes, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678701,0.04,,",nc73678701,",nc73678701,1642264570051,
123,,md,nc,,,",nc,",8.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678696&format=geojson,1642233913440,73678696,11,81,0.01146,0.85,"7km W of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678696,0.01,,",nc73678696,",nc73678696,1642234010104,
124,,ml,nn,,,",nn,",8.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00831754&format=geojson,1642233776509,00831754,12,194.11,0.118,0.9,"34 km SE of Mina, Nevada",https://earthquake.usgs.gov/earthquakes/eventpage/nn00831754,0.0919,,",nn00831754,",nn00831754,1642234006787,
125,,md,nc,,,",nc,",31.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678686&format=geojson,1642233667230,73678686,42,37,0.01251,1.65,"5km W of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678686,0.04,,",nc73678686,",nc73678686,1642237752202,
126,,md,hv,,,",hv,",42.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72874142&format=geojson,1642233027750,72874142,77,90,,2.23000002,"3 km SSE of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72874142,0.129999995,,",hv72874142,",hv72874142,1642233217990,
127,,md,nc,,,",nc,",7.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678681&format=geojson,1642232784650,73678681,11,107,0.01185,0.85,"7km WNW of Cobb, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678681,0.02,,",nc73678681,",nc73678681,1642232879082,
128,,ml,ci,,,",ci,",22.0,automatic,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913175&format=geojson,1642232544550,39913175,31,55,0.01452,1.41,"6km N of Little Lake, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913175,0.09,,",ci39913175,",ci39913175,1642233179770,
129,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022oxfnju&format=geojson,1642232099174,022oxfnju,35,,,1.5,"3 km ESE of Big Lake, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022oxfnju,0.37,,",ak022oxfnju,",ak022oxfnju,1642232584052,
130,,md,hv,,,",hv,",15.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72874097&format=geojson,1642231694950,72874097,58,237,,1.94000006,"11 km ESE of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72874097,0.100000001,,",hv72874097,",hv72874097,1642231885820,
131,,ml,ci,,,",ci,",31.0,reviewed,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913167&format=geojson,1642230953060,39913167,8,57,0.06809,0.7,"10km SSW of Idyllwild, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913167,0.14,,",ci39913167,",ci39913167,1642347196132,
132,,md,nc,,,",nc,",8.0,automatic,",nearby-cities,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678671&format=geojson,1642230821070,73678671,11,88,0.01038,0.85,"8km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678671,0.02,,",nc73678671,",nc73678671,1642230919921,
133,,ml,hv,,,",hv,",43.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72874077&format=geojson,1642230819890,72874077,83,132,,2.32,"6 km ENE of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72874077,0.119999997,,",hv72874077,",hv72874077,1642231149810,
134,,ml,nn,,,",nn,",8.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00831753&format=geojson,1642229969481,00831753,12,172.77,0.078,0.9,"2 km WSW of Walker, California",https://earthquake.usgs.gov/earthquakes/eventpage/nn00831753,0.0456,,",nn00831753,",nn00831753,1642230246952,
135,,ml,ok,,,",ok,",20.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022baci&format=geojson,1642228926880,2022baci,77,97.42088318,0.1311812997,2.23,"2 km NNW of Covington, Oklahoma",https://earthquake.usgs.gov/earthquakes/eventpage/ok2022baci,0.6116097799,,",ok2022baci,",ok2022baci,1642229069097,
136,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022owvo7d&format=geojson,1642228896397,022owvo7d,44,,,1.7,"4 km NNE of Talkeetna, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022owvo7d,0.5,,",ak022owvo7d,",ak022owvo7d,1642229588699,
137,,ml,ci,,,",ci,us,",19.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913151&format=geojson,1642228426720,39913151,160,158,0.2745,3.22,"56km ESE of Maneadero, B.C., MX",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913151,0.16,,",ci39913151,us7000gc76,",ci39913151,1642229248040,
138,1.0,mb,us,,,",us,",,reviewed,",dyfi,origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc6y&format=geojson,1642227138236,7000gc6y,259,71,3.748,4.1,"9 km WNW of Güiria, Venezuela",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc6y,0.73,1,",us7000gc6y,",us7000gc6y,1642289100651,
139,,md,nc,,,",nc,",14.0,automatic,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73678666&format=geojson,1642226927950,73678666,36,79,0.03071,1.52,"8km NNE of Alum Rock, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73678666,0.03,,",nc73678666,",nc73678666,1642228871272,
140,,ml,ci,,,",ci,",13.0,reviewed,",nearby-cities,origin,phase-data,scitech-link,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39913111&format=geojson,1642226911860,39913111,16,106,0.01802,1.02,"6km N of Little Lake, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39913111,0.18,,",ci39913111,",ci39913111,1642344923844,
141,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022owo6mv&format=geojson,1642226802514,022owo6mv,50,,,1.8,"30 km N of Sutton-Alpine, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022owo6mv,0.77,,",ak022owo6mv,",ak022owo6mv,1642227184258,
142,,ml,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc6u&format=geojson,1642226714721,7000gc6u,96,71,0.046,2.5,"60 km SSW of Whites City, New Mexico",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc6u,0.78,,",us7000gc6u,",us7000gc6u,1642228051040,
143,,md,hv,,,",hv,",47.0,automatic,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72873947&format=geojson,1642226290940,72873947,66,117,,2.06999993,"4 km NE of P?hala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72873947,0.119999997,,",hv72873947,",hv72873947,1642226623170,
144,,mb,us,,,",us,",,reviewed,",origin,phase-data,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gc6t&format=geojson,1642226277667,7000gc6t,271,80,0.687,4.2,"41 km SSE of Jurm, Afghanistan",https://earthquake.usgs.gov/earthquakes/eventpage/us7000gc6t,0.75,,",us7000gc6t,",us7000gc6t,1642227724040,
145,,ml,ak,,,",ak,",,automatic,",origin,",earthquake,0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022owcl2l&format=geojson,1642225951170,022owcl2l,39,,,1.6,"24 km SE of Fox River, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak022owcl2l,0.39,,",ak022owcl2l,",ak022owcl2l,1642226192207,
